# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	DELAY_300|EXT|TRAIL_1.5R	141130	0.3316	-26.85	-108.12	271.07	237.5	487.5	-0.1595	-0.6556	1.7	177.28	375	0.067	0.0277	367.526
E2	ALL	DELAY_300|RECLAIM|PHASE	82026	0.1769	-35.3	-142.5	177.17	137.5	350	-0.3103	-1.24	2.186	156.52	312.5	0.0793	0.0445	213.609
E2	ALL	DELAY_300|RECLAIM|TRAIL_1.0R	82026	0.2844	-33.14	-67.5	177.17	137.5	350	-0.3162	-0.6211	1.164	93.07	212.5	0.0205	0.0079	213.609
E2	ALL	DELAY_300|RECLAIM|TRAIL_1.5R	82026	0.293	-30.42	-86.25	177.17	137.5	350	-0.2992	-0.9	1.7	119.77	268.75	0.0387	0.0158	213.609
E2	ALL	DELAY_300|SWING|PHASE	164513	0.1129	-34.03	-105	95.13	75	175	-0.4724	-1.48	0.95	94.46	175	0.0503	0.0285	428.419
E2	ALL	DELAY_300|SWING|TRAIL_1.0R	164513	0.2531	-33.11	-55	95.13	75	175	-0.4784	-0.8	1.12	51.97	112.5	0.0052	0.0012	428.419
E2	ALL	DELAY_300|SWING|TRAIL_1.5R	164513	0.2646	-31.95	-67.5	95.13	75	175	-0.4618	-1.1	1.65	66.56	137.5	0.0116	0.0035	428.419
E2	ALL	DELAY_600|EXT|PHASE	132223	0.2723	-29.67	-180	303.74	256.25	562.5	-0.1369	-1.1	2.075	236.02	475	0.1092	0.0579	344.331
E2	ALL	DELAY_600|EXT|TRAIL_1.0R	132223	0.3294	-29.75	-80	303.74	256.25	562.5	-0.1674	-0.4429	1.2	152.88	343.75	0.0492	0.0176	344.331
E2	ALL	DELAY_600|EXT|TRAIL_1.5R	132223	0.3371	-28.04	-105	303.74	256.25	562.5	-0.1543	-0.62	1.658	195.42	425	0.0752	0.0313	344.331
E2	ALL	DELAY_600|RECLAIM|PHASE	81903	0.2067	-37.09	-142.5	218.74	162.5	437.5	-0.2875	-1.1846	2.18	183.76	375	0.0903	0.0475	213.289
E2	ALL	DELAY_600|RECLAIM|TRAIL_1.0R	81903	0.2971	-32.92	-67.5	218.74	162.5	437.5	-0.2756	-0.5684	1.16	112.82	262.5	0.0297	0.0117	213.289
E2	ALL	DELAY_600|RECLAIM|TRAIL_1.5R	81903	0.307	-31.11	-92.5	218.74	162.5	437.5	-0.2636	-0.8222	1.66	145	325	0.0509	0.0209	213.289
E2	ALL	DELAY_600|SWING|PHASE	163739	0.1286	-34.34	-117.5	112.63	87.5	212.5	-0.43	-1.4	1.514	108.41	212.5	0.056	0.0311	426.404
E2	ALL	DELAY_600|SWING|TRAIL_1.0R	163739	0.2594	-33.27	-55	112.63	87.5	212.5	-0.4334	-0.7429	1.133	60.82	137.5	0.0081	0.0025	426.404
E2	ALL	DELAY_600|SWING|TRAIL_1.5R	163739	0.2708	-32.24	-73.75	112.63	87.5	212.5	-0.4231	-1.05	1.65	78.36	175	0.0171	0.0055	426.404
E2	ALL	TREND_900|EXT|PHASE	78951	0.3366	-31.93	-255	428.56	375	700	-0.0749	-1.05	1.95	314.69	581.25	0.1376	0.074	205.602
E2	ALL	TREND_900|EXT|TRAIL_1.0R	78951	0.3578	-31	-117.5	428.56	375	700	-0.0874	-0.3461	1.196	212.91	437.5	0.0759	0.0303	205.602
E2	ALL	TREND_900|EXT|TRAIL_1.5R	78951	0.3692	-28.88	-155	428.56	375	700	-0.0743	-0.4543	1.582	270.12	537.5	0.1101	0.0491	205.602
E2	ALL	TREND_900|RECLAIM|PHASE	78951	0.2254	-36.28	-155	248.45	187.5	487.5	-0.2167	-1.1517	2.15	203.59	412.5	0.0972	0.0521	205.602
E2	ALL	TREND_900|RECLAIM|TRAIL_1.0R	78951	0.3084	-34.15	-80	248.45	187.5	487.5	-0.2322	-0.5333	1.162	127.41	287.5	0.0359	0.0142	205.602
E2	ALL	TREND_900|RECLAIM|TRAIL_1.5R	78951	0.3167	-33.05	-101.88	248.45	187.5	487.5	-0.2214	-0.7667	1.657	163.42	362.5	0.0577	0.0245	205.602
E2	ALL	TREND_900|SWING|PHASE	78758	0.1244	-34.25	-105	108.64	75	212.5	-0.471	-1.4	1.314	103.92	200	0.0543	0.0296	205.099
E2	ALL	TREND_900|SWING|TRAIL_1.0R	78758	0.2535	-33.78	-55	108.64	75	212.5	-0.4718	-0.7833	1.089	58.84	131.25	0.0079	0.0024	205.099
E2	ALL	TREND_900|SWING|TRAIL_1.5R	78758	0.2682	-31.61	-70.62	108.64	75	212.5	-0.4496	-1.0857	1.65	75.44	162.5	0.0165	0.0055	205.099
E2	ALL	TREND_1800|EXT|PHASE	79922	0.3634	-29.74	-230	506.29	425	862.5	-0.0515	-0.6436	1.746	341.22	662.5	0.1422	0.0756	208.13
E2	ALL	TREND_1800|EXT|TRAIL_1.0R	79922	0.3729	-29.58	-117.5	506.29	425	862.5	-0.0693	-0.2889	1.146	241.88	512.5	0.0881	0.036	208.13
E2	ALL	TREND_1800|EXT|TRAIL_1.5R	79922	0.3843	-29.84	-142.5	506.29	425	862.5	-0.0596	-0.3449	1.45	301.37	625	0.1182	0.0552	208.13
